user_id,group,converted,event_time,country,device,channel
10381,treatment,0,2026-01-01 20:49:00,CA,tablet,organic
13202,treatment,0,2026-01-31 22:35:00,US,mobile,paid
5457,control,0,2026-01-16 23:16:00,UK,tablet,organic
3542,control,0,2026-01-05 15:11:00,IN,desktop,organic
14737,treatment,0,2026-01-10 08:09:00,IN,mobile,paid
3156,control,0,2026-01-26 21:27:00,UK,mobile,referral
5738,control,0,2026-01-17 01:49:00,DE,desktop,organic
2777,control,0,2026-01-26 12:49:00,DE,mobile,email
13880,treatment,0,2026-01-13 19:25:00,CA,mobile,referral
4586,control,0,2026-02-07 02:29:00,US,mobile,paid
8473,treatment,0,2026-01-25 02:37:00,US,mobile,referral
4486,control,0,2026-01-28 21:18:00,US,mobile,paid
13870,treatment,0,2026-01-17 14:50:00,UK,desktop,paid
2327,control,0,2026-01-04 03:43:00,IN,mobile,referral
9766,treatment,0,2026-02-03 19:03:00,UK,mobile,email
6278,control,0,2026-01-25 09:06:00,US,mobile,organic
7478,control,0,2026-01-04 02:18:00,US,mobile,paid
11538,treatment,0,2026-02-11 16:02:00,UK,desktop,email
14176,treatment,0,2026-02-09 02:13:00,IN,mobile,organic
2057,control,0,2026-01-14 16:22:00,US,mobile,email
14972,treatment,0,2026-01-10 09:21:00,UK,mobile,paid
11951,treatment,0,2026-01-05 20:34:00,DE,tablet,referral
4476,control,1,2026-01-24 19:04:00,IN,desktop,organic
9004,treatment,0,2026-01-17 13:59:00,UK,mobile,organic
4005,control,0,2026-01-28 07:28:00,UK,mobile,paid
15008,treatment,1,2026-01-19 23:40:00,US,mobile,referral
15468,treatment,0,2026-01-17 06:22:00,US,mobile,email
6852,control,0,2026-01-17 19:54:00,US,desktop,paid
6357,control,0,2026-01-18 02:31:00,UK,desktop,email
2462,control,0,2026-01-25 11:56:00,US,desktop,paid
2116,control,0,2026-01-15 07:10:00,UK,desktop,paid
13596,treatment,1,2026-01-25 12:28:00,US,desktop,email
14690,treatment,0,2026-01-13 12:09:00,US,mobile,organic
1276,control,0,2026-01-19 08:04:00,US,mobile,paid
616,control,0,2026-02-03 20:02:00,IN,desktop,email
11200,treatment,0,2026-01-28 10:17:00,US,tablet,organic
4677,control,0,2026-01-31 10:47:00,DE,tablet,organic
11756,treatment,0,2026-01-01 22:48:00,UK,tablet,paid
771,control,0,2026-01-15 11:56:00,IN,mobile,organic
15693,treatment,0,2026-01-18 14:44:00,US,mobile,paid
9754,treatment,0,2026-02-05 01:35:00,IN,mobile,email
14040,treatment,0,2026-01-01 07:28:00,US,desktop,paid
11849,treatment,0,2026-01-07 17:27:00,US,tablet,referral
3073,control,1,2026-01-13 17:56:00,US,mobile,organic
6209,control,0,2026-01-11 14:16:00,IN,mobile,referral
10825,treatment,0,2026-02-13 09:37:00,US,tablet,paid
15485,treatment,0,2026-01-20 08:13:00,IN,mobile,organic
359,control,0,2026-01-01 22:20:00,US,mobile,paid
6746,control,0,2026-02-13 17:19:00,IN,mobile,organic
5847,control,0,2026-01-09 09:35:00,IN,desktop,organic
2570,control,0,2026-01-25 22:00:00,DE,mobile,organic
9564,treatment,0,2026-01-31 20:39:00,IN,mobile,organic
14768,treatment,0,2026-01-22 20:01:00,CA,mobile,organic
8469,treatment,0,2026-01-13 13:42:00,DE,desktop,organic
15696,treatment,0,2026-01-13 06:26:00,CA,mobile,organic
14854,treatment,0,2026-02-14 22:01:00,UK,mobile,referral
1176,control,0,2026-01-23 02:26:00,US,mobile,organic
13334,treatment,0,2026-01-11 13:46:00,IN,desktop,organic
9672,treatment,0,2026-02-09 23:38:00,CA,mobile,organic
5134,control,0,2026-01-26 02:05:00,UK,mobile,organic
8273,treatment,0,2026-01-26 07:22:00,CA,mobile,paid
8338,treatment,0,2026-01-06 07:03:00,US,desktop,organic
7505,control,0,2026-02-12 02:30:00,US,desktop,organic
7298,control,0,2026-01-02 20:52:00,IN,mobile,email
11122,treatment,0,2026-01-14 16:39:00,UK,mobile,organic
54,control,0,2026-02-07 03:00:00,US,desktop,organic
4541,control,0,2026-01-28 06:34:00,US,mobile,referral
13736,treatment,0,2026-02-06 12:11:00,UK,mobile,referral
2756,control,0,2026-01-21 12:39:00,US,mobile,organic
15398,treatment,0,2026-01-12 17:08:00,US,mobile,organic
8390,treatment,0,2026-01-05 13:14:00,US,desktop,email
12541,treatment,1,2026-02-03 23:10:00,UK,mobile,paid
7250,control,0,2026-02-03 22:01:00,IN,desktop,organic
10269,treatment,0,2026-02-03 19:55:00,US,desktop,email
8319,treatment,0,2026-01-12 22:19:00,IN,desktop,paid
7831,control,0,2026-02-07 15:33:00,IN,mobile,paid
5961,control,0,2026-01-03 10:02:00,IN,mobile,paid
10729,treatment,0,2026-02-11 02:32:00,UK,mobile,organic
8340,treatment,1,2026-01-28 17:22:00,DE,desktop,organic
9287,treatment,0,2026-01-23 23:43:00,CA,tablet,organic
9067,treatment,1,2026-01-27 23:00:00,US,mobile,organic
6186,control,0,2026-02-02 03:20:00,IN,tablet,paid
852,control,0,2026-01-10 15:47:00,US,desktop,paid
2974,control,0,2026-02-09 03:38:00,IN,mobile,organic
4840,control,0,2026-02-01 14:24:00,US,tablet,organic
11198,treatment,1,2026-02-04 17:12:00,CA,desktop,paid
